timestamp,cleaned_data
1770195931.346055,Current Moisture: 3	Current Temperature: 22.50	Current humidity: 44.20
1770195931.970013,Current Moisture: 36	Current Temperature: 22.50	Current humidity: 44.20
1770195932.97766,Current Moisture: 46	Current Temperature: 22.50	Current humidity: 44.20
1770195933.989293,Current Moisture: 21	Current Temperature: 22.50	Current humidity: 44.20
1770195934.9968598,Current Moisture: 12	Current Temperature: 22.50	Current humidity: 44.20
1770195936.0044549,Current Moisture: 1	Current Temperature: 22.50	Current humidity: 44.20
1770195937.01612,Current Moisture: 38	Current Temperature: 22.50	Current humidity: 44.20
1770195938.0236192,Current Moisture: 1	Current Temperature: 22.50	Current humidity: 44.20
1770195939.031208,Current Moisture: 2	Current Temperature: 22.50	Current humidity: 44.20
